profile_id,email,phone_number,first_name,last_name,city,region,country,timezone,source,subscriptions,consent_status,email_subscribed,sms_subscribed,created,updated,predicted_clv_1y,predicted_clv_lifetime,churn_risk,predicted_gender,average_days_between_orders,average_order_value,total_revenue,expected_date_of_next_order,historic_clv,historic_number_of_orders,custom_properties
klv_cust3746317213,user0@example.com,+15559470267,Bob,Jones,New York,ON,United Kingdom,America/New_York,landing_page,{},subscribed,True,False,2022-10-13 13:31:59,2024-05-29 00:40:36,243.73,660.31,low,unknown,86.4,62.51,426.68,2025-10-20 18:25:13,293.17,5,{}
klv_cust9697354961,user1@example.com,+15552781356,Bob,Smith,Los Angeles,CA,United Kingdom,America/New_York,shopify,{},subscribed,True,True,2023-04-06 06:27:56,2024-06-05 07:22:23,348.08,1441.16,high,female,33.0,97.66,588.45,2025-08-26 11:52:46,330.71,1,{}
klv_cust2181241943,user2@example.com,+15551087822,Alice,Chen,Sydney,NY,United States,America/New_York,landing_page,{},subscribed,True,True,2022-11-24 07:00:06,2024-04-21 07:16:28,25.79,127.38,winback,female,99.2,116.84,148.05,2025-11-16 23:15:59,290.78,10,{}
klv_cust1958682846,user3@example.com,+15556979662,David,Chen,Sydney,ON,United States,America/New_York,social,{},subscribed,True,False,2023-08-22 15:56:50,2024-05-22 10:18:56,294.66,1454.05,low,male,68.2,114.13,412.42,2025-06-12 06:29:11,428.32,12,{}
klv_cust4163119785,user4@example.com,+15551233142,Carol,Patel,New York,Greater London,Canada,America/New_York,shopify,{},subscribed,True,False,2023-11-14 13:55:28,2024-06-17 01:46:53,190.05,691.52,low,male,87.9,66.15,380.22,2025-10-11 17:04:50,114.59,9,{}
klv_cust9963334018,user5@example.com,+15553795148,Bob,Smith,Sydney,ON,Canada,America/New_York,social,{},subscribed,True,False,2023-01-01 21:33:38,2024-03-06 23:26:13,88.67,432.99,low,male,90.6,66.34,751.13,2025-10-06 05:00:45,220.93,1,{}
klv_cust2812140441,user6@example.com,+15555347062,Alice,Smith,Sydney,ON,United States,America/New_York,shopify,{},subscribed,True,True,2022-11-21 11:48:53,2024-08-19 04:35:39,86.49,273.53,medium,unknown,66.9,106.52,236.69,2025-08-11 02:40:57,341.95,2,{}
klv_cust1127978094,user7@example.com,+15557857755,David,Kim,New York,NY,United States,America/New_York,landing_page,{},subscribed,True,True,2023-03-28 22:42:26,2024-03-29 00:08:33,274.69,751.15,low,male,84.1,57.21,186.71,2025-09-30 23:59:53,172.17,8,{}
klv_cust1939042955,user8@example.com,+15557795950,Alice,Smith,Sydney,CA,United States,America/New_York,shopify,{},subscribed,True,False,2022-11-20 17:00:40,2024-05-25 05:01:50,224.04,1002.17,low,male,74.8,86.37,444.74,2025-10-20 01:40:07,220.38,12,{}
klv_cust9703905715,user9@example.com,+15556523278,Alice,Jones,New York,ON,United States,America/New_York,social,{},subscribed,True,True,2023-08-18 22:13:18,2024-02-17 14:23:04,122.82,407.22,medium,unknown,35.3,53.26,70.42,2025-12-02 20:54:36,148.53,4,{}
