id,name,email,phone,customer_id,financial_status,fulfillment_status,currency,total_price,subtotal_price,total_discounts,total_tax,total_shipping,total_refunds,net_payment,billing_address,shipping_address,shipping_country,shipping_country_code,line_items,discount_codes,refunds,fulfillments,transactions,tags,note,source_name,landing_site,referring_site,utm_source,utm_medium,utm_campaign,utm_content,utm_term,cancelled_at,cancel_reason,closed_at,processed_at,created_at,updated_at,customer_orders_count,customer_total_spent
5000000,#ORD5000000,user0@example.com,,cust3746317213,refunded,fulfilled,USD,34.54,31.98,0.0,2.56,0.0,0.0,34.54,{},{},CA,CA,[],[],[],[],[],,,web,/collections/all,https://email.com,email,email,camp_1,,,,,2025-02-09 14:25:10,2025-02-09 14:25:10,2025-02-09 14:25:10,2025-02-09 14:25:10,1,27.63
5000001,#ORD5000001,user1@example.com,,cust9697354961,paid,fulfilled,USD,66.55,50.97,0.0,4.08,11.5,0.0,66.55,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,social,camp_20,,,,,2023-10-24 13:39:02,2023-10-24 13:39:02,2023-10-24 13:39:02,2023-10-24 13:39:02,1,53.24
5000002,#ORD5000002,user1@example.com,,cust9697354961,paid,fulfilled,USD,78.33,73.95,7.39,5.32,6.45,0.0,78.33,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://influencer.com,influencer,email,camp_5,,,,,2024-01-16 18:22:22,2024-01-16 18:22:22,2024-01-16 18:22:22,2024-01-16 18:22:22,2,125.33
5000003,#ORD5000003,user1@example.com,,cust9697354961,paid,fulfilled,USD,166.26,153.94,0.0,12.32,0.0,0.0,166.26,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,,camp_12,,,,,2024-09-20 21:27:12,2024-09-20 21:27:12,2024-09-20 21:27:12,2024-09-20 21:27:12,3,399.02
5000004,#ORD5000004,user1@example.com,,cust9697354961,paid,fulfilled,USD,131.29,115.96,0.0,9.28,6.05,0.0,131.29,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,social,camp_12,,,,,2025-02-28 16:54:35,2025-02-28 16:54:35,2025-02-28 16:54:35,2025-02-28 16:54:35,4,420.13
5000005,#ORD5000005,user2@example.com,,cust2181241943,paid,fulfilled,USD,151.14,139.94,0.0,11.2,0.0,0.0,151.14,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://organic.com,organic,email,camp_9,,,,,2024-03-07 12:30:10,2024-03-07 12:30:10,2024-03-07 12:30:10,2024-03-07 12:30:10,1,120.91
5000006,#ORD5000006,user2@example.com,,cust2181241943,paid,fulfilled,USD,85.33,67.96,0.0,5.44,11.93,0.0,85.33,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://affiliate.com,affiliate,organic,camp_1,,,,,2024-05-28 11:34:21,2024-05-28 11:34:21,2024-05-28 11:34:21,2024-05-28 11:34:21,2,136.53
5000007,#ORD5000007,user2@example.com,,cust2181241943,pending,fulfilled,USD,53.96,49.96,0.0,4.0,0.0,0.0,53.96,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,social,camp_3,,,,,2024-09-23 05:54:06,2024-09-23 05:54:06,2024-09-23 05:54:06,2024-09-23 05:54:06,3,129.5
5000008,#ORD5000008,user2@example.com,,cust2181241943,paid,fulfilled,USD,46.41,42.97,0.0,3.44,0.0,0.0,46.41,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://meta.com,meta,organic,camp_7,,,,,2024-11-29 10:59:45,2024-11-29 10:59:45,2024-11-29 10:59:45,2024-11-29 10:59:45,4,148.51
5000009,#ORD5000009,user2@example.com,,cust2181241943,paid,fulfilled,USD,65.58,55.97,0.0,4.48,5.13,0.0,65.58,{},{},US,US,[],[],[],[],[],,,web,/collections/all,https://email.com,email,social,camp_5,,,,,2025-02-25 22:12:08,2025-02-25 22:12:08,2025-02-25 22:12:08,2025-02-25 22:12:08,5,262.32
